"Hanke","AlkuPvm","StrateginenOhjelma","Karkihanke","SidosryhmaRooli","Aihepiiri","MenotYhteensa","Organisaatio","ProjektiId","Projekti","LoppuPvm","JulkaistavaProjektikuvaus","Kehittamistarve","Kohderyhma","StrateginenOhjelmaYlempi"
"Smart and Wise Turku/Hiilineutraalius ja resurssiviisaus","2018-03-01","Ilmasto- ja ympäristöpolitiikan toimenpiteillä edetään kohti kaupunkiseudun hiilineutraaliutta 2029","Kyllä","Sitra£Rahoittaja","Kaupunkikehittäminen|Ympäristö","60000.0","Konha/Kaupunkisuunnittelu","1995","Kuntalaisten energiakäänne","2019-02-28","Turun tavoitteena on olla hiilineutraali kaupunkialue vuoteen 2029 mennessä. Mukaan ilmastotyöhön tarvitaan kaupunkikonsernin lisäksi kuntalaiset, yritykset ja yhteisöt. Kunnianhimoista ilmastotavoitettamme vastaamaan käynnistimme kevättalvella 2018 Kuntalaisten energiakäänteen.\r\n\r\nHiilineutraali Turku on yhteinen tavoite, ja mukaan ilmastotyöhön kannustetaan seudun kaikkia toimijoita. Kuntalaisten energiakäänne on mukana vauhdittamassa tätä työtä ja luomassa uusia osallistumiskeinoja turkulaiseen ilmastotyöhön. Käynnistämme uusia yhteistyömuotoja yritysten ja yhteisöjen kanssa ja kannustamme kuntalaisia tekemään oman energiakäänteensä.\r\n\r\nKuntalaisten energiakäänteessä etsimme turkulaisille uusia, kannustavia keinoja energiainvestointien vauhdittamiseksi. Tavoitteena on parantaa turkulaisten mahdollisuuksia uusiutuvan energian käyttöönottoon ja energiaremontteihin. Teemme yhteistyötä mm. Bastu-yrityskehittämön kanssa yhdistämällä energiaratkaisujen tarjoajia niitä tarvitseviin kohteisiin. Tätä varten syksyllä 2018 käynnistettiin Energiakäänne-ratkaisufoorumit.\r\n\r\nIlmastonmuutoksen hillintäkeinot ovat tiedossa, mutta ratkaisut tulisi ottaa käyttöön nykyistä nopeammin. Kuntalaisten energiainvestointeja vauhdittamaan kannustamme muun muassa pankkeja kehittämään vihreiden rahoitusmallien palveluja. Teemme myös kaupungin rakennusvalvonnan kanssa uusia avauksia esimerkiksi aurinkoenergian neuvonnan ja luvituksen helpottamiseksi. Yhteistyössä rakennusvalvonnan kanssa valmistelemme esimerkiksi palvelupolun aurinkoenergian lupaprosessia selkeyttämään.\r\n\r\nKeräämme tietoa ja nostamme näkyville Turun kaupungin konserniyhtiöissä toteutettavia energiapilotteja. Näin kannustamme seudun eri toimijoita uusiutuvan energian käyttöönottoon. Esimerkiksi asumis- ja kiinteistöpuolen konserniyhtiöt panostavat aktiivisesti energiatehokkuustoimiin ja lisäävät uusiutuvan energian käyttöä kiinteistöissään. Tehdyistä ja käynnissä olevista energiapiloteista viestitäänkin jatkossa yhä aktiivisemmin, jotta muutkin tietävät, millaisin keinoin hiilineutraalia kaupunkia tehdään. Kuntalaisten energiakäänteessä kootaan tietoja turkulaisten toimijoiden energiapiloteista. Tätä työtä jatketaan yritysten ja yhteisöjen kanssa osana seudullista ilmastoyhteistyötä.\r\n\r\nKuntalaisten energiakäänne toteutetaan yhteistyössä Sitran, konserniyhtiöiden ja Turun yliopiston kanssa. Hanketta rahoittavat Sitra ja Turun kaupunki.\r\n ","Kaupunkistrategia 2029 ja strategiset ohjelmat","Aikuiset|Yhdistykset ja yhteisöt|Yritykset","Rakentuva kaupunki ja ympäristö"
"Smart and Wise Turku/Hiilineutraalius ja resurssiviisaus","2019-09-04","null","Kyllä","null","null","112100.0","Konha/Kaupunkisuunnittelu","1996","Resurssiviisauden tiekartta","2021-12-31","Kaupungeilla on tärkeä mahdollistajan rooli kiertotalouden toteutumisessa. Ilmastotavoitteita ei saavuteta ilman kiertotalouden kytkeytymistä osaksi toimintatapojamme. Tämä edellyttää tiivistä yhteistyötä eri toimijoiden välillä ja selkeää tavoitteenasettelua, jossa yhdistetään ilmastotavoitteet kestävään luonnonvarojen käyttöön ja sosiaalisesti kestäviin toimintatapoihin. \r\n\r\nTurun kaupungin tavoitteena on toteuttaa resurssiviisauden periaatteet vuoteen 2040 mennessä: Ei jätteitä, ei päästöjä ja kestävä luonnonvarojen kulutus. Kaupunki tavoittelee hiilineutraalisuutta vuoteen 2029 mennessä ja tähtää ilmastopositiiviseksi alueeksi siitä eteenpäin. \r\n\r\nTurun kaupunki, alueelliset kumppanit, ICLEI (Local Governments for sustainability) ja Sitra työstävät Turun seudulle uutta resurssiviisauden ja kiertotalouden tavoitteita edistävää tiekarttakokonaisuutta. \r\n\r\nTiekarttahankkeen tavoitteena on yhdistää uudella tavalla resurssiviisauden ja kiertotalouden tavoitteet Turun seudulla, tiivistää kiertotaloustoimijoiden yhteistyötä ja luoda selkeät tavoitteet ja mittarit resurssiviisauden edistämiseksi Turun seudulla. \r\n\r\nICLEI:n kansainvälisten verkostojen kautta Turulla on lisäksi mahdollisuus vaikuttaa kaupunkien väliseen kiertotalousyhteistyöhön globaalisti ja tiivistää kiertotalouteen liittyvää yhteistyötä ja tiedonvaihtoa esimerkiksi japanilaisten kaupunkien kanssa.\r\n\r\nResurssiviisauden tiekartta -hankkeella vahvistetaan kiertotalouden ja ilmastotoimenpiteiden yhteyttä sekä Turun seudulla että kansainvälisesti.","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","null"
"Vapa: Aktiivisuuden edistäminen","null","Tuetaan aktiivista elämäntapaa luomalla edellytyksiä omatoimiselle aktiivisuudelle","Ei","vapaan kentän taiteilijat kerho-ohjaajina£Kolmas sektori|Koulut, rehtorit, opettajat£Kaupunki, kunta tai seutukunta|Lapset ja perheet£Asiakas tai asukas","null","null","Vapa/Hallinto ja yhteiset toiminnot","2009","Taidelukkari","2020-07-31","Taidelukkari-kerhot tarjoavat matalan kynnyksen taidekerhotoimintaa kymmenellä lähiöalueen koululla.\r\n\r\nTaidelukkari-hankkeen tarkoituksena on lisätä turkulaisten 3. - 6.-luokkalaisten mahdollisuuksia harrastaa taidetta ja kulttuuria  heti koulupäivän jälkeen heidän omalla koulullaan. Kerhotoimintaa on sellaisilla lähiöasuinalueilla, joilla ennestään on vähän lastenkulttuuripalveluita ja harrastusmahdollisuuksia. \r\n\r\nKoulujen taidekerhot täydentävät alueen palveluita ja maksuttomana toimintana antavat lapsille tasavertaiset mahdollisuudet osallistumiseen. Kerhojen suunnittelussa ja toiminnassa otetaan huomioon lasten kiinnostus ja mielipiteet.\r\n\r\nTaidekerhoissa lapsilla on mahdollisuus innostua taideharrastamisesta, rikastaa omaa mielikuvitustaan ja lisätä luovaa ajatteluaan. Kerhoissa oppii toimimaan ryhmässä ja voi löytää uuden ystävän.\r\n","null","null","Aktiivinen turkulainen"
"Sito/STEAM Turku","2018-06-05","Luodaan parempia palveluita kehittämällä vaikuttavia asiakaskeskeisiä palveluprosesseja","Ei","null","null","153800.0","Sito/Varhaiskasvatus","2021","Digiä, liikettä ja ilmiöitä","2020-12-31","Tavoitteena on uudenlaisten innovatiivisten oppimisympäristöjen kehittäminen ja niiden hyödyntäminen Varhaiskasvatussuunnitelman ja Esiopetuksen opetussuunnitelman perusteiden mukaisesti. Tavoitteena on pedagogista toimintaa tukevien ratkaisujen kehittäminen valmiiden/vanhempien päiväkotien oppimisympäristöjen uudistamiseksi. \r\n\r\nErityisinä painopisteinä on liikunnallisuuden ja toiminnallisen oppimisen lisääminen. Matematiikan ja luonnontieteellisten taitojen ja innostuksen herättämiseen pyritään itse tekemällä. Leikin ja toiminnallisuuden kautta tuodaan esiin ilmiöitä ja matemaattisia taitoja. Lisäksi hyödynnetään esim. digitaalisia apuvälineitä. Huomiota kiinnitetään myös tilojen monikäyttöisyyteen ja muunneltavuuteen.\r\n\r\nYhteistyötä tehdään STEAM Turku –hankkeen kanssa. ","Mahdollistava (yhteistyö, rahoitus jne)","null","Terve ja hyvinvoiva turkulainen"
"Sito/Kansainvälisyys","null","Kansainvälisyyden edellytykset turvataan tukemalla asukkaiden ja henkilöstön valmiuksia toimia kulttuurien välisessä vuorovaikutuksessa","Ei","null","Koulutus ja päivähoito","6250.0","Sivistystoimiala","2037","Suomi-Viro -verkosto lapsilähtöisen pedagogiikan kehittämiseksi","2019-12-31","YK:n Lasten oikeuksien sopimuksen mukaiset kansalaisoikeudet edellyttävät lapsen osallisuutta omaan elämäänsä. Myös Varhaiskasvatussuunnitelman perusteiden mukaan lasten osallisuus tulee huomioida kaikessa toiminnassa. \r\n\r\nLapsilähtöisen varhaiskasvatuksen tukemiseksi on jo muutaman vuoden ajan ollut verkosto, johon on kuulunut henkilöitä Suomesta, Virosta ja Englannista. Tällä hankkeella on tarkoitus syventää yhteistyötä sekä viedä se myös lasten yhteistyön tasolle. \r\n\r\nHankkeen tavoitteena on tukea verkoston työskentelyä, mahdollistaa lasten välinen yhteistyö kirjeenvaihdon sekä Skype-yhteyksien avulla ja mahdollisesti toimittaa kirja lapsilähtöisyyden pedagogiikasta. Verkosto tapaa kerran vuodessa.","Kaupunkistrategia 2029 ja strategiset ohjelmat","Lapsiperheet","Osaava ja oppiva turkulainen"
"Vapa: Aktiivisuuden edistäminen","2018-10-30","Vahvistetaan aluenäkökulmaa asuinalueiden ominaispiirteitä hyödyntämällä","Ei","Lähikirjastojen asiakkaat£Asiakas tai asukas|Lähikirjastojen henkilökunta£Oma organisaatio","Kaupunkikehittäminen|Kulttuuri ja liikunta","null","Vapa/Kirjastopalvelut","2050","Lähikirjastojen tapahtumakonseptin kehittäminen","2020-09-30","Turussa on yksitoista lähikirjastoa pääkirjaston lisäksi. Pääkirjasto on tuottelias tapahtumien järjestäjä kaupungin keskustassa. Tämän projektin tavoitteena on luoda rakenne, jonka avulla henkilökunta osaa järjestää monipuolisia tapahtumia myös eri puolilla kaupunkia sijaitseviin lähikirjastoihin.\r\n\r\nLähikirjastojen toimintaympäristöt ovat erilaisia rakenteeltaan ja  asujaimistoltaan. Näin ollen eri kirjastoihin tarvitaan erilaisia ja eri-ikäisille suunnattuja tapahtumia. Tämän vuoksi tapahtumakonsepti kehitetään yhteistyössä eri alueilla toimivien paikallisten järjestöjen, yhdistysten ja organisaatioiden kanssa.     ","Kaupunkistrategia 2029 ja strategiset ohjelmat","Aikuiset|Lapsiperheet|Maahanmuuttajat|Matkailijat|Nuoret|Seniorit|Vammaiset|Vauvat ja taaperot|Yhdistykset ja yhteisöt","Aktiivinen turkulainen"
"DiPaKe 2018-2019","2018-08-22","Tuetaan aktiivista elämäntapaa luomalla edellytyksiä omatoimiselle aktiivisuudelle","Ei","null","null","350000.0","Konsernihallinto","2064","Saavutettavuuslain vaatimusten toteuttaminen","null","EU:n saavutettavuusdirektiivi määrittää, että julkishallinnon digitaalisten palvelujen pitää olla kaikkien saavutettavissa ja käytettävissä. Se tarkoittaa, että kaikilla on esteetön mahdollisuus asioida palveluissa, joiden käyttö edellyttää tieto- ja viestintäteknologian käyttämistä.\r\n\r\nSaavutettavuuslain vaatimusten toteuttaminen -projektissa priorisoidaan ja teetetään tekniset korjaukset kaupungin verkko- ja mobiilipalveluihin, jotta ne ovat jatkossa käytettävämpiä kaikille käyttäjille, esimerkiksi sokeainselaimella käyttäjä kuulee, mitä eri lomakkeiden kenttiin pitää kirjoittaa. Samalla kaupungin työntekijöitä koulutetaan saavutettavuuden ymmärtämiseksi, jotta se tulee luontevaksi osaksi jokapäiväistä työtä.","Pakottava ulkoinen (lakimuutos jne)","null","Aktiivinen turkulainen"
"Vapa: Kansalaistaidot ja saavutettavuus","2018-10-30","Tuetaan aktiivista elämäntapaa luomalla edellytyksiä omatoimiselle aktiivisuudelle","Ei","Turun ammattikorkeakoulu£Korkeakoulu tai oppilaitos|Seinäjoen ammattikorkeakoulu£Korkeakoulu tai oppilaitos|Seinäjoen kaupunginkirjasto£Kaupunki, kunta tai seutukunta|Jyväskylän yliopisto£Korkeakoulu tai oppilaitos","Kulttuuri ja liikunta","96156.0","Vapa/Kirjastopalvelut","2073","Lukemattomat mahdollisuudet","null","Lukemattomat mahdollisuudet -hankkeessa  haetaan ratkaisuja nuorten aikuisten (16 - 35 vuotta) lukemattomuuteen ja heikkoon lukutaitoon. Heikko lukutaito aiheuttaa työelämästä ja opinnoista sivuun jäämistä. Lukutaidon tukeminen ehkäisee syrjäytymistä ja edistää nuorten mahdollisuuksia koulutukseen ja työllistymiseen. \r\n\r\nLukemattomat mahdollisuudet -hankkeen toimenpiteet Turun kaupunginkirjastossa (2018 - 2020): \r\n\r\n1. Osallistutaan lukutaitoa tukevan mallin kehittämiseen\r\nMalli sisältää tutkimustietoon ja käytännön testaamiseen perustuvan valikoiman menetelmiä, työpajojen kuvauksia ohjeineen sekä arviointimateriaalia lukemisen tukemiseen. Mallissa on huomioitu erilaiset lukemattomuuden syyt kuten harjaantumattomuus, oppimisvaikeudet ja syrjäytyminen.\r\n\r\n2. Kirjastopalveluiden kehittäminen yhdessä nuorten aikuisten kanssa\r\nHankkeen aikana kehitetään kiinnostavia lukutaitoa tukevia ja lukemiseen innostavia palveluja heikosti lukeville nuorille aikuisille. Jo olemassa olevia kirjastopalveluja muokataan vastaamaan paremmin kohderyhmän tarpeisiin.\r\n\r\n3. Lukutaito-ohjaajien koulutuksen suunnittelu ja toteutus\r\nTurun ammattikorkeakoulu rakentaa kymmenen opintopisteen valmennuksen kirjastoammattilaisille. Valmennuksessa perehdytään lukemattomuuteen ja saadaan konkreettisia työkaluja lukemisen tukemiseen.\r\n\r\nKohderyhmää tavoitetaan oppilaitosten, työpajojen ja järjestöjen kautta. Toiminnassa ideoidaan, testataan ja juurrutetaan lukemista tukevia työtapoja. Hankkeen tuloksena syntyy päivitettyjä kirjastopalveluita sekä heikosti lukevien nuorten aikuisten lukutaitoa edistävä toimintamalli. Kehitetyt palvelut leviävät hankkeessa luotujen verkostojen kautta valtakunnalliseen käyttöön. \r\n\r\nYhteistyökumppanit: Turun ammattikorkeakoulun hallinnoiman valtakunnallisen hankkeen osatoteuttajia ovat Turun kaupunginkirjasto, Jyväskylän yliopisto, Seinäjoen ammattikorkeakoulu ja Seinäjoen kaupunginkirjasto. \r\n\r\nRahoittaja: Euroopan sosiaalirahaston Kestävää kasvua ja työtä 2014 - 2020 Suomen rakennerahasto-ohjelma, Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus.\r\n\r\nLisätiedot:\r\nhttps://lukemattomat.turkuamk.fi \r\n\r\n\r\n\r\n\r\n","Kaupunkistrategia 2029 ja strategiset ohjelmat","Aikuiset|Nuoret","Aktiivinen turkulainen"
"Vapa, muut","2018-10-30","Tuloksellisuutta parannetaan hyvällä johtamisella, uusilla toimintatavoilla ja niitä tukevilla työvälineillä","Ei","null","Kulttuuri ja liikunta","null","Vapa/Kirjastopalvelut","2092","Kirjasto liinaa!","null","Projektin tarkoituksena on ottaa käyttöön Turun kaupunginkirjastossa LEAN-kehittäminen ja vakiinnuttaa LEAN-ajattelu palveluiden kehittämisen työkaluksi. LEAN on systemaattinen, tietoon perustuva tapa kehittää toimintaa mittausten ja kokeilujen avulla. Keskeinen periaate on tuottaa enemmän arvoa asiakkaille vähemmillä resursseilla.\r\n\r\nProjekti koostuu pienemmistä osaprojekteista, joissa tarkastelun kohteeksi otetaan kirjaston prosesseja. Tavoite on saada kirjoitettua keskeisimmille toimintakokonaisuuksille asiakaspalvelulupaukset.\r\n\r\n”Tarkoitus ei ole juosta kovempaa, vaan kävellä lyhyempi matka.”","Asukas-, asiakas- ja henkilöstötarve","Viranomaiset","Vaikuttava ja uudistuva Turku"
"Pysäköintitoiminnan kehittäminen","2018-09-17","Tuloksellisuutta parannetaan hyvällä johtamisella, uusilla toimintatavoilla ja niitä tukevilla työvälineillä","Ei","it-palvelut£Oma organisaatio","null","13500.0","Kyto/Luvat ja valvonta","2100","Bodycam","2019-05-31","Haalarikameralla eli bodycamilla pyritään parantamaan pysäköinnintarkastajien työturvallisuutta. Tarkastajat kohtaavat työssään hankalia ja jopa aggressiivisia asiakaspalvelutilanteita, joiden jälkiselvittelyssä videotallenteesta on merkittävää hyötyä. Osa tapauksista päätyy tuomioistuimen käsiteltäväksi virkamiehen vastustamisena tai väkivaltaisena vastustamisena.\r\n\r\nPysäköinnintarkastajaa suojaa työssään samat rikoslain pykälät kuin poliisia. Tällä pyritään edesauttamaan viranomaistyön häiriötön suorittaminen. Tilanteiden jälkiselvittelyn kannalta ääni- ja kuvamateriaali on hyvin merkityksellistä.\r\n\r\nTarkastajan työssä haalarikameroilla pyritään pitämään tilanne rauhallisena sekä parantamaan niin tarkastajan kuin asiakkaankin oikeusturvaa. Tieto asiakaspalvelutilanteen tallentumisesta videolle auttaa pitämään keskustelua asiallisena. Lisäksi kameran kuvaama videotodiste on oikeusturvan kannalta selkeämpi kuin osapuolten muistinvarainen käsitys tilanteesta.\r\n\r\nProjektissa hankitaan haalarikamerat sekä niiden käyttöön tarvittavat ohjelmistolisenssit ja tarvikkeet. Tallenteista koostuvasta rekisteristä laaditaan tietosuojaselosteet ja toimintaohjeet kameroiden käytöstä. Lisäksi tarvitaan pysäköinnintarkastajien eli työntekijöiden suostumus kameran käyttöön.","Muu","null","Vaikuttava ja uudistuva Turku"
"null","2019-04-01","Kaupunkikeskustan elinvoimaisuutta lisätään laajalla yhteistyöllä","Kyllä","Skärgårdstftelsen, Stockholm£Kansainvälinen kumppani|Forum Marinum£Konserniyhtiö tai yhteisö|Turun yliopisto£Korkeakoulu tai oppilaitos|Visit Turku£Oma organisaatio|Matkailun kärkiyritykset£Yritys|Visit Finland£Valtionhallinto|Saariston kunnat£Kaupunki, kunta tai seutukunta|Varsinais-Suomen liitto£Rahoittaja|Central Baltic-ohjelma£Rahoittaja|Liikennöijät (saaristoliikenne)£Yritys|Föli£Oma organisaatio|Visit Stockholm£Kansainvälinen kumppani|Visit Åland£Kansainvälinen kumppani|Metsähallitus£Valtionhallinto","Kaupunkikehittäminen","867359.0","Konha/Vetovoimatoiminnot","2101","Archipelago Access -hanke ","2021-06-30","Archipelago Access -hankkeen tavoitteena on edistää saaristomatkailua kestävällä tavalla ja luoda Turun ja Tukholman välisestä saaristosta yhtenäisempi ja saavutettavampi matkakohde. Turun kaupungin kumppanina hankkeessa on Stockholm Archipelago Foundation. \r\n\r\nHankkeessa toteutetaan yhdessä Tukholman saaristosäätiön kanssa matkailijan tiedonhakua helpottava digitaalinen alusta. Sinne kootaan eri lähteistä tietoa saariston palveluista, käyntikohteista sekä siitä, miten saaristoon pääsee. Karttapohjainen alusta auttaa saaristosta kiinnostunutta eteenpäin matkan suunnittelussa ja tekee kokemusten jakamisesta helppoa. Alustalla hyödynnetään sosiaalisen median sisältöjä ja suosituksia, jotka vaikuttavat yhä enemmän matkailijoiden päätöksen tekoon.\r\n\r\nSuunnittelussa on mukana mm. Visit Finland, Visit Turku, Visit Stockholm ja laaja joukko alan osaajia ja muita yhteistyökumppaneita. \r\nDigitaalinen alusta linkittyy hankkeessa toteutettavaan kahteen vuorovaikutteiseen näyttelyyn, joista toinen tulee Turkuun Forum Marinumin Kruununmakasiinin vintille ja toinen Tukholman saaristoon Utön saarelle. Näyttelyiden sisällöt sovitetaan paikallisiin tarpeisiin, mutta molemmat edistävät yhteisen saaristoalueen houkuttelevuutta matkakohteena. Turussa näyttely nostaa esiin saariston kärkikohteita ja valikoituja teemoja esimerkiksi vastuulliseen matkailuun tai saariston elinkeinoihin liittyen. Tukholmassa Utön saarelle rakennetaan ulkoilmanäyttely, joka esittelee paikallista kulttuurihistoriaa ja luontoa sekä saariston mahdollisuuksia.\r\n\r\nNäyttelyt ja digitaalinen alusta tekevät saaristoa, sen käyntikohteita ja palveluita näkyviksi niin matkailijoille kuin paikallisille. Ne toimivat ikään kuin saariston näyteikkunoina. Parantunut näkyvyys ja saavutettavuus lisäävät saariston ja sen palveluiden käyttöä ja tuovat uusia kävijöitä. \r\n\r\nTurun kaupunginvaltuuston hyväksymän Turun keskustavision 2050 mukaisesti Turku on maailman kauneimman saariston pääkaupunki, jossa saaristo ja merellisyys tulee voida kokea jo ydinkeskustassa. Archipelago Access -hanke ja siinä Turkuun toteutettava elämyksellinen näyttely ovat osa laajempaa merellisen Turun kehittämistä. Keskustavisiota toteuttava merikeskuskokonaisuus on yksi kaupunginvaltuuston hyväksymistä keskustan kärkihankkeen 10 toimenpidekokonaisuudesta. Archipelago Access toimii pilottiprojektina Merikeskushankkeelle, jota suunnitellaan ja toteutetaan yhteistyössä merellisten toimijoiden kanssa.\r\n","Mahdollistava (yhteistyö, rahoitus jne)","null","Rakentuva kaupunki ja ympäristö"
"Kaupunkirakenne ja liikennejärjestelmä","2019-01-01","Rakentuva kaupunki ja ympäristö","Ei","null","Elinkeinoelämä ja liiketoiminta|Kaupunkikehittäminen|Liikenne","447000.0","Kyto/Kaupunkisuunnittelu ja maaomaisuus","2105","HUPMOBILE (Satama-alueen kehittäminen)","2021-09-30","Turun satamaan suunnitellaan varustamojen yhteisterminaalia. Yhteisterminaali avaa uusia mahdollisuuksia satama-alueen ja sen läheisten alueiden kehittämiselle sekä liikennejärjestelyille. Samanaikaisesti on käynnissä Linnakaupungin asuinpainotteisen alueen rakentuminen kohti satamaa sekä satamalta vapautuvan alueen (Linnanniemi) suunnittelun aloittaminen. HUPMOBILE (Holistic Urban and Peri-urban Mobi-lity) -projektissa tavoitteena on kokonaisvaltaisella lähestymistavalla kehittää kestävän liikkumisen ratkaisuja yhdessä Tallinnan, Hampurin ja Riian kaupunkien, ITL Digital Labin, Aalto yliopiston, Kungliga tekniska högskolanin sekä Itämeren kaupunkien Kestävien kaupunkien komission kanssa.\r\n\r\nTyössä laaditaan yhteistyössä eri osapuolten kanssa liikkumistarpeisiin ja –tavoitteisiin perustuva kokonaisvaltainen suunnitelma Turun satama-alueen liikennejärjestelyistä.\r\n\r\n\r\n\r\nDevelopment of the port area\r\n\r\nNew opportunities for development of the port area are open. Two Shipowners (Tallink Silja Oy and Vi-king Line Abp), the Port of Turku and the City of Turku have signed a letter of intent to develop the harbor area. There will be a common terminal for both shipowners. It enables the development of transport and different land use in adjacent areas like Linnakaupunki and Linnanniemi. \r\n\r\nThe goal of the HUPMOBILE (Holistic Urban and Peri-Urban Mobility) -project is a holistic approach to promote sustainable mobility with other partners (the City of Tallinn, Hamburg and Riga, ITL Digital Lab, Aalto University, KTH Royal Institute of Technology and UBC Sustainable Cities Commission). There will be a joint port area master and mobility plan for Linnakaupunki and Turku port area on how to integrate the development of these two areas, improve accessibility, promote use of sustainable modes and in-crease the attractiveness of the area. \r\n","Muu","Aikuiset|Matkailijat|Yritykset","Kilpailukyky ja kestävä kasvu"
"null","2018-11-27","Turun seudulla monipuoliset sivistyspalvelut saadaan esteettömästi kaikkien ulottuville hyödyntämällä uuden teknologian tarjoamia mahdollisuuksia ja alueellista yhteistyötä","Ei","null","null","10351.0","Sito/Lukiokoulutus","2119","Digitaidot ","2020-05-31","Osa kansalaisista ei ole tottunut käyttämään digitaalisia palveluja, joten heidän digitaitojaan tulee vahvistaa. Työväen- ja kansalaisopistojen nykyistä tietotekniikan opetustarjontaa tulee myös kehittää ja laajentaa. Projektin tavoitteena on uudistaa työväenopiston digitaitokurssit vastaamaan entistä paremmin opiskelijoiden erilaisiin tarpeisiin ja tavoitteisiin.\r\n\r\nProjektin aikana päivitetään vanhat kurssit sisällöltään ja testataan niitä käytännössä. Tämän lisäksi kurssikuvaukset yhtenäistetään ja muokataan selkokielisiksi palvelemaan entistä paremmin työväenopiston erilaisia asiakkaita. Toteuttajaorganisaatioiden kanssa kehitetään yhteinen Digitaidot-kurssien tarjotin.\r\n\r\nProjektin tuloksena työväenopisto tarjoaa kursseja, joilla käsitellään usein perinteisestä kurssitarjonnasta puuttuvia aiheita, kuten media- ja digilukutaitoa, tekijänoikeuksia ja nettietikettiä. Projektin päättymisen jälkeen uudistettu opintotarjonta löytyy sekä yhteiseltä verkkosivustolta että painetusta markkinointimateriaalista.\r\n\r\nProjektin toteuttajaorganisaatiot ovat Turun suomenkielisen työväenopiston lisäksi Auralan, Auranlaakson, Kaarinan, Liedon, Naantalin ja Paimion kansalaisopistot, Saariston Kombi sekä Svenska arbis. Projektia rahoittaa Opetushallitus. ","Asukas-, asiakas- ja henkilöstötarve","null","Osaava ja oppiva turkulainen"
"Sito/Ammatillisen koulutuksen reformi","2018-10-24","Vieraskielisen väestön suomen ja ruotsin kielen taidon kehittymistä ja suomalaisen yhteiskunnan tuntemusta tuetaan riittävällä koulutustarjonnalla ja muilla palveluilla","Ei","null","null","224194.0","Sito/Ammatillinen koulutus","2133","Perusta - perustaidot hallussa","2021-12-31","Suomessa on merkittävä joukko työssäkäyviä aikuisia, joilla perustaidot (lukutaito, numeraaliset taidot sekä tieto- ja viestintätekniikkataidot) ovat heikot. Perustaitojen puutteet haittaavat sekä opintojen suorittamista, että työelämässä ja arjessa selviytymistä. Hankkeen toimenpiteillä ehkäistään syrjäytymistä ja ulkopuolisuutta parantamalla heikot perustaidot omaavien henkilöiden koulutus- ja työllistymismahdolli-suuksia.\r\n\r\nPerusta – perustaidot hallussa -projektin tavoitteena on vahvistaa ja lisätä nuorten ja aikuisten perustaitoja. Heikot perustaidot pyritään tunnistamaan mahdollisimman varhaisessa vaiheessa, jotta tukitoimet voidaan kohdentaa heti niitä tarvitseville. Hankkeen tavoitteena on luoda toimintamalleja, joilla kehitetään ja vakiinnutetaan perusvalmiuksia, sekä tunnistetaan taitoja ja tunnustetaan osaamista. \r\nKohderyhmänä hankkeessa ovat oppilaitoksissa jo opiskelevat opiskelijat, koulutuksen ja työelämän ulkopuolella olevat henkilöt, sekä opetus- ja ohjaushenkilöstö. \r\n\r\nHankkeen toteuttajaverkostoon kuuluvat Turun kaupungin sivistystoimiala (hallinnoiva organisaatio) ja Turun ammatti-instituutti, Koulutuskuntayhtymä Tavastia, Länsirannikon koulutus Oy WinNova ja  \r\nTurun aikuiskoulutussäätiö. \r\n\r\n\r\n","null","null","Osaava ja oppiva turkulainen"
